"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"103","1","1","163.39","(1,1)","1","1","155.74","(1,1)"
"104","2","0","142.15","(2,0)","2","0","134.5","(2,0)"
"105","2","2","154.16","(2,2)","2","2","142.69","(2,2)"
"106","2","0","148.41","(2,0)","2","0","140.76","(2,0)"
"107","1","1","171.87","(1,1)","2","2","163.62","(2,2)"
"108","2","0","153.44","(2,0)","2","0","145.79","(2,0)"
"109","1","0","161.83","(1,0)","2","0","155.27","(2,0)"
"110","2","0","157.59","(2,0)","2","0","149.94","(2,0)"
"111","2","0","148.62","(2,0)","2","0","140.97","(2,0)"
"112","1","1","129.22","(1,1)","1","1","121.57","(1,1)"
"113","2","0","162.39","(2,0)","2","0","154.75","(2,0)"
"114","1","2","157.79","(1,2)","1","2","148.23","(1,2)"
"115","0","2","167.25","(0,2)","2","2","156.7","(2,2)"
"116","1","0","125.79","(1,0)","1","0","120.06","(1,0)"
"117","1","2","151.49","(1,2)","1","2","141.93","(1,2)"
"118","1","1","156.46","(1,1)","1","1","148.81","(1,1)"
"119","1","1","156.56","(1,1)","1","1","148.91","(1,1)"
"120","1","0","145.23","(1,0)","1","1","138.61","(1,1)"
"121","1","0","149.91","(1,0)","1","0","144.17","(1,0)"
"122","2","0","161.85","(2,0)","2","0","154.2","(2,0)"
"123","1","2","149.67","(1,2)","1","2","140.1","(1,2)"
"124","1","0","145.94","(1,0)","1","0","140.2","(1,0)"
"125","2","0","158.9","(2,0)","2","0","151.26","(2,0)"
"126","2","0","145.42","(2,0)","2","2","135.41","(2,2)"
"127","2","0","153.77","(2,0)","2","0","146.12","(2,0)"
"128","1","0","149.57","(1,0)","2","2","141.93","(2,2)"
"129","1","1","171.93","(1,1)","1","1","164.28","(1,1)"
"130","1","0","154.73","(1,0)","1","1","148.01","(1,1)"
"131","2","0","143.66","(2,0)","1","2","134.2","(1,2)"
"132","1","0","158","(1,0)","1","2","150.24","(1,2)"
"133","2","0","161.34","(2,0)","2","0","153.69","(2,0)"
"134","1","1","125.13","(1,1)","1","1","117.48","(1,1)"
"135","1","0","135.25","(1,0)","1","0","129.51","(1,0)"
"136","0","0","147.01","(0,0)","0","0","143.19","(0,0)"
"137","1","2","141.15","(1,2)","1","2","131.59","(1,2)"
"138","1","1","157.96","(1,1)","2","2","147","(2,2)"
"139","2","2","154.67","(2,2)","2","2","143.19","(2,2)"
"140","2","0","155.8","(2,0)","2","0","148.16","(2,0)"
"141","2","0","145.68","(2,0)","2","0","138.04","(2,0)"
