"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"216","1","1","163.95","(1,1)","1","1","158.27","(1,1)"
"217","1","1","149.36","(1,1)","1","1","143.68","(1,1)"
"218","1","1","153.49","(1,1)","1","1","147.82","(1,1)"
"219","1","0","156.25","(1,0)","1","2","149.47","(1,2)"
"220","1","1","142.11","(1,1)","1","1","136.44","(1,1)"
"221","2","2","134.7","(2,2)","2","2","125.24","(2,2)"
"222","1","2","157.91","(1,2)","1","2","150.35","(1,2)"
"223","1","1","162.59","(1,1)","1","1","156.91","(1,1)"
"224","1","1","164.56","(1,1)","1","1","158.89","(1,1)"
"225","1","0","136.53","(1,0)","1","1","132.03","(1,1)"
"226","2","0","152.73","(2,0)","1","2","146.81","(1,2)"
"227","2","0","148.23","(2,0)","2","0","142.56","(2,0)"
"228","1","1","153.09","(1,1)","1","1","147.42","(1,1)"
"229","1","0","144.3","(1,0)","2","0","139.8","(2,0)"
"230","2","0","136.95","(2,0)","2","0","131.27","(2,0)"
"231","1","1","152.06","(1,1)","1","1","146.38","(1,1)"
"232","1","0","157.8","(1,0)","2","0","152.64","(2,0)"
"233","1","1","155.47","(1,1)","1","1","149.79","(1,1)"
"234","1","1","135.18","(1,1)","1","1","129.5","(1,1)"
"235","2","0","139.42","(2,0)","2","0","133.74","(2,0)"
"236","1","1","137.14","(1,1)","1","1","131.47","(1,1)"
"237","1","1","150.4","(1,1)","1","1","144.73","(1,1)"
"238","1","1","147.57","(1,1)","1","1","141.9","(1,1)"
"239","1","1","155.8","(1,1)","1","1","150.12","(1,1)"
"240","2","0","138.81","(2,0)","2","0","133.13","(2,0)"
"241","1","1","161.45","(1,1)","2","1","155.25","(2,1)"
"242","1","1","164.99","(1,1)","1","1","159.32","(1,1)"
"243","1","1","143.06","(1,1)","1","1","137.39","(1,1)"
"244","1","1","136.92","(1,1)","1","1","131.25","(1,1)"
"245","1","1","138.65","(1,1)","1","1","132.97","(1,1)"
"246","2","0","145.4","(2,0)","2","0","139.73","(2,0)"
"247","1","1","149.91","(1,1)","2","2","141.74","(2,2)"
"248","2","0","145.31","(2,0)","2","0","139.63","(2,0)"
"249","1","1","146.6","(1,1)","1","1","140.93","(1,1)"
"250","2","0","121.69","(2,0)","2","0","116.01","(2,0)"
"251","1","1","161.69","(1,1)","1","1","156.02","(1,1)"
