"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"457","2","0","143.72","(2,0)","2","0","136.07","(2,0)"
"458","2","0","172.08","(2,0)","2","2","164","(2,2)"
"459","2","0","151.64","(2,0)","1","2","143.17","(1,2)"
"460","2","0","165.72","(2,0)","2","2","156.74","(2,2)"
"461","1","0","179.45","(1,0)","1","2","172.35","(1,2)"
"462","2","2","163.73","(2,2)","2","2","152.26","(2,2)"
"463","1","1","172.78","(1,1)","2","2","163.05","(2,2)"
"464","1","2","153.76","(1,2)","1","2","144.2","(1,2)"
"465","1","1","153.69","(1,1)","1","1","146.04","(1,1)"
"466","2","0","173.18","(2,0)","2","0","165.54","(2,0)"
"467","2","0","156.16","(2,0)","2","1","146.87","(2,1)"
"468","1","1","168.28","(1,1)","1","1","160.63","(1,1)"
"469","2","0","145.59","(2,0)","2","0","137.94","(2,0)"
"470","2","0","172.32","(2,0)","2","0","164.67","(2,0)"
"471","2","0","135.37","(2,0)","2","0","127.73","(2,0)"
"472","2","0","153.93","(2,0)","2","0","146.28","(2,0)"
"473","2","0","164.61","(2,0)","1","2","155.33","(1,2)"
"474","1","1","168.06","(1,1)","1","1","160.41","(1,1)"
"475","2","0","164.07","(2,0)","2","0","156.42","(2,0)"
"476","1","1","162.86","(1,1)","1","1","155.21","(1,1)"
"477","2","0","171.52","(2,0)","2","0","163.87","(2,0)"
"478","2","0","147.15","(2,0)","2","0","139.5","(2,0)"
"479","1","2","133.33","(1,2)","1","2","123.77","(1,2)"
"480","1","2","154.76","(1,2)","1","2","145.2","(1,2)"
"481","2","0","171.99","(2,0)","1","2","163.14","(1,2)"
"482","1","2","163.39","(1,2)","1","2","153.83","(1,2)"
"483","1","1","157.26","(1,1)","1","1","149.61","(1,1)"
"484","1","2","165.64","(1,2)","2","2","155.67","(2,2)"
"485","1","2","165.72","(1,2)","2","2","155.05","(2,2)"
"486","1","2","160.4","(1,2)","1","2","150.84","(1,2)"
"487","2","0","147.4","(2,0)","2","0","139.75","(2,0)"
"488","2","0","163.3","(2,0)","2","0","155.66","(2,0)"
"489","1","2","159.36","(1,2)","1","2","149.8","(1,2)"
"490","2","0","162.11","(2,0)","2","0","154.46","(2,0)"
"491","2","2","174.5","(2,2)","2","2","163.03","(2,2)"
"492","1","1","173.7","(1,1)","1","2","164.89","(1,2)"
"493","1","2","174.61","(1,2)","1","2","165.05","(1,2)"
