"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"852","2","0","586.84","(2,0)","2","0","576.96","(2,0)"
"853","2","0","571.44","(2,0)","2","2","558.36","(2,2)"
"854","1","2","592.03","(1,2)","1","2","578.86","(1,2)"
"855","1","2","621.14","(1,2)","1","2","607.97","(1,2)"
"856","2","2","559.58","(2,2)","2","2","543.11","(2,2)"
"857","2","0","602.31","(2,0)","1","2","591.43","(1,2)"
"858","2","0","565.96","(2,0)","2","2","555.78","(2,2)"
"859","1","2","596.02","(1,2)","1","2","582.85","(1,2)"
"860","1","2","598.52","(1,2)","1","2","585.35","(1,2)"
"861","2","2","591.71","(2,2)","2","2","575.25","(2,2)"
"862","2","0","601.36","(2,0)","2","2","586.26","(2,2)"
"863","1","2","584.43","(1,2)","1","2","571.26","(1,2)"
"864","1","1","581.45","(1,1)","2","1","568.61","(2,1)"
"865","1","1","581.5","(1,1)","2","1","569.31","(2,1)"
"866","2","2","600.43","(2,2)","2","2","583.96","(2,2)"
"867","2","0","569.77","(2,0)","1","2","557.15","(1,2)"
"868","2","0","558.57","(2,0)","2","0","548.69","(2,0)"
